pdate,hour,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,total,totalimei,totalimsi
2016-05-03,16,92,92,92,92,92,92,262,249,249
2016-05-03,17,26,26,26,26,26,26,1,1,1
2016-05-03,17,88,88,88,88,88,88,1110,1065,1065
2016-05-03,17,89,89,89,89,89,89,2051,2027,2027
2016-05-03,17,90,90,90,90,90,90,2727,2683,2683
2016-05-03,17,91,91,91,91,91,91,1096,1087,1087
2016-05-03,17,92,92,92,92,92,92,196,185,185
2016-05-03,18,88,88,88,88,88,88,2008,1777,1777
2016-05-03,18,89,89,89,89,89,89,3298,3126,3126
2016-05-03,18,90,90,90,90,90,90,4220,3982,3982
2016-05-03,18,91,91,91,91,91,91,1676,1564,1564
2016-05-03,18,92,92,92,92,92,92,262,234,234
2016-05-03,19,88,88,88,88,88,88,355,339,339
2016-05-03,19,89,89,89,89,89,89,670,667,667
2016-05-03,19,90,90,90,90,90,90,1063,1062,1062
2016-05-03,19,91,91,91,91,91,91,390,389,389
2016-05-03,19,92,92,92,92,92,92,48,45,45
2016-05-03,20,88,88,88,88,88,88,596,577,577
2016-05-03,20,89,89,89,89,89,89,1188,1175,1175
2016-05-03,20,90,90,90,90,90,90,1716,1674,1674
2016-05-03,20,91,91,91,91,91,91,648,640,640
2016-05-03,20,92,92,92,92,92,92,114,108,108
2016-05-03,21,88,88,88,88,88,88,86,81,81
2016-05-03,21,89,89,89,89,89,89,169,169,169
2016-05-03,21,90,90,90,90,90,90,344,344,344
2016-05-03,21,91,91,91,91,91,91,84,84,84
2016-05-03,21,92,92,92,92,92,92,13,13,13
2016-05-03,22,88,88,88,88,88,88,372,336,336
2016-05-03,22,89,89,89,89,89,89,526,513,513
2016-05-03,22,90,90,90,90,90,90,692,677,677
2016-05-03,22,91,91,91,91,91,91,284,276,276
2016-05-03,22,92,92,92,92,92,92,55,51,51
2016-05-04,0,88,88,88,88,88,88,272,245,245
2016-05-04,0,89,89,89,89,89,89,486,452,452
2016-05-04,0,90,90,90,90,90,90,810,755,755
2016-05-04,0,91,91,91,91,91,91,356,320,320
2016-05-04,0,92,92,92,92,92,92,67,57,57
2016-05-04,1,88,88,88,88,88,88,979,841,841
2016-05-04,1,89,89,89,89,89,89,1155,996,996
2016-05-04,1,90,90,90,90,90,90,1727,1506,1506
2016-05-04,1,91,91,91,91,91,91,848,723,723
2016-05-04,1,92,92,92,92,92,92,135,111,111
2016-05-04,7,88,88,88,88,88,88,175,168,168
2016-05-04,7,89,89,89,89,89,89,298,294,294
2016-05-04,7,90,90,90,90,90,90,363,362,362
2016-05-04,7,91,91,91,91,91,91,108,108,108
2016-05-04,7,92,92,92,92,92,92,17,15,15
2016-05-04,8,88,88,88,88,88,88,1078,1037,1037
2016-05-04,8,89,89,89,89,89,89,2078,2032,2032
2016-05-04,8,90,90,90,90,90,90,2636,2573,2573
2016-05-04,8,91,91,91,91,91,91,834,815,815
2016-05-04,8,92,92,92,92,92,92,136,122,122
2016-05-04,9,88,88,88,88,88,88,528,504,504
2016-05-04,9,89,89,89,89,89,89,1139,1109,1109
2016-05-04,9,90,90,90,90,90,90,1445,1422,1422
2016-05-04,9,91,91,91,91,91,91,507,490,490
2016-05-04,9,92,92,92,92,92,92,99,94,94
2016-05-04,10,88,88,88,88,88,88,441,430,430
2016-05-04,10,89,89,89,89,89,89,756,751,751
2016-05-04,10,90,90,90,90,90,90,1117,1111,1111
2016-05-04,10,91,91,91,91,91,91,433,429,429
2016-05-04,10,92,92,92,92,92,92,80,74,74
2016-05-04,11,88,88,88,88,88,88,454,413,413
2016-05-04,11,89,89,89,89,89,89,736,705,705
2016-05-04,11,90,90,90,90,90,90,1027,991,991
